,via_to,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
38,TA15TA37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,0.0,0.0,0.0,0.0,8.88,8.88,22.200000000000003,4.44,4.44,4.44,0.0,0.0,4.44
39,TA15TA4,31.080000000000002,13.32,0.0,8.88,13.32,8.88,48.84,111.00000000000001,222.00000000000003,186.48000000000002,150.96,177.60000000000002,239.76000000000002,195.36,333.00000000000006,195.36,195.36,230.88000000000002,217.56000000000003,284.16,230.88000000000002,293.04,168.72000000000003,75.48
40,TA16TA22,4.44,4.44,0.0,0.0,4.44,8.88,13.32,71.04,93.24000000000001,79.92,48.84,44.400000000000006,93.24000000000001,88.80000000000001,53.28,31.080000000000002,79.92,48.84,71.04,71.04,88.80000000000001,79.92,44.400000000000006,22.200000000000003
41,TA16TA5,17.76,22.200000000000003,8.88,4.44,4.44,8.88,4.44,22.200000000000003,106.56,75.48,115.44000000000001,111.00000000000001,88.80000000000001,97.68,124.32000000000001,133.20000000000002,137.64000000000001,155.4,124.32000000000001,155.4,150.96,111.00000000000001,75.48,66.60000000000001
42,TA179TA277,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,17.76,4.44,17.76,8.88,13.32,13.32,31.080000000000002,8.88,8.88,13.32,31.080000000000002,13.32,4.44,8.88,13.32,0.0
43,TA183TA80,0.0,0.0,0.0,0.0,0.0,4.44,8.88,26.64,399.6,301.92,195.36,79.92,84.36000000000001,62.160000000000004,48.84,190.92000000000002,301.92,71.04,88.80000000000001,84.36000000000001,62.160000000000004,22.200000000000003,35.52,26.64
44,TA183TA81,475.08000000000004,284.16,235.32000000000002,124.32000000000001,97.68,248.64000000000001,714.84,1744.92,2366.52,2553.0,2331.0,2326.5600000000004,2410.92,2442.0,2442.0,2650.6800000000003,2650.6800000000003,2610.7200000000003,2570.76,2237.76,1855.92,1558.44,1363.0800000000002,954.6000000000001
45,TA185TA76,13.32,13.32,4.44,0.0,0.0,4.44,39.96,182.04000000000002,399.6,444.00000000000006,284.16,150.96,173.16000000000003,111.00000000000001,146.52,142.08,190.92000000000002,146.52,137.64000000000001,217.56000000000003,79.92,71.04,62.160000000000004,31.080000000000002
46,TA18TA8,186.48000000000002,71.04,168.72000000000003,79.92,79.92,71.04,186.48000000000002,488.40000000000003,541.6800000000001,950.1600000000001,612.72,666.0000000000001,754.8000000000001,816.96,603.84,701.5200000000001,719.2800000000001,630.48,639.36,674.8800000000001,594.96,497.28000000000003,372.96000000000004,328.56
47,TA193TA36,35.52,4.44,4.44,13.32,4.44,0.0,22.200000000000003,66.60000000000001,412.92,1007.8800000000001,532.8000000000001,137.64000000000001,53.28,22.200000000000003,79.92,155.4,44.400000000000006,66.60000000000001,546.12,608.2800000000001,39.96,48.84,22.200000000000003,22.200000000000003
48,TA193TA6,8.88,17.76,8.88,0.0,0.0,0.0,17.76,62.160000000000004,71.04,97.68,133.20000000000002,159.84,239.76000000000002,106.56,186.48000000000002,159.84,79.92,222.00000000000003,195.36,222.00000000000003,159.84,79.92,79.92,53.28
49,TA21TA22,0.0,0.0,0.0,0.0,0.0,8.88,44.400000000000006,97.68,266.40000000000003,239.76000000000002,248.64000000000001,257.52000000000004,177.60000000000002,301.92,266.40000000000003,364.08000000000004,239.76000000000002,222.00000000000003,195.36,195.36,301.92,177.60000000000002,97.68,204.24
50,TA22TA23,8.88,13.32,0.0,4.44,0.0,8.88,13.32,75.48,199.8,190.92000000000002,239.76000000000002,244.20000000000002,230.88000000000002,279.72,182.04000000000002,222.00000000000003,270.84000000000003,182.04000000000002,230.88000000000002,133.20000000000002,173.16000000000003,111.00000000000001,53.28,35.52
51,TA231TA39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.76,26.64,26.64,44.400000000000006,35.52,62.160000000000004,0.0,79.92,62.160000000000004,26.64,17.76,44.400000000000006,26.64,26.64,8.88,0.0
52,TA23TA24,44.400000000000006,17.76,8.88,0.0,0.0,62.160000000000004,35.52,88.80000000000001,399.6,417.36,390.72,310.8,266.40000000000003,301.92,248.64000000000001,337.44000000000005,435.12000000000006,319.68,346.32000000000005,346.32000000000005,319.68,97.68,124.32000000000001,71.04
